profile_id,fav_sports,fav_leagues,fav_teams
hKXCEDTh7n1yzKdkAb_Ee5X6zztkN_FQ,"[{'name': 'soccer', 'viewed_milli_seconds': 675414}]","[{'name': 'lcITZJY0ykr_lQXPFHaaJLBvJj6rUJzx', 'viewed_milli_seconds': 675414}]","[{'name': 'Liverpool', 'league': 'lcITZJY0ykr_lQXPFHaaJLBvJj6rUJzx', 'viewed_milli_seconds': 675414}, {'name': 'Crystal Palace', 'league': 'lcITZJY0ykr_lQXPFHaaJLBvJj6rUJzx', 'viewed_milli_seconds': 675414}]"
hMWkKGHq_zqvruq0llGcbPBTaLoss3_S,"[{'name': 'soccer', 'viewed_milli_seconds': 718882}]","[{'name': 'lcITZJY0ykr_lQXPFHaaJLBvJj6rUJzx', 'viewed_milli_seconds': 718882}]","[{'name': 'Norwich', 'league': 'lcITZJY0ykr_lQXPFHaaJLBvJj6rUJzx', 'viewed_milli_seconds': 718882}, {'name': 'Everton', 'league': 'lcITZJY0ykr_lQXPFHaaJLBvJj6rUJzx', 'viewed_milli_seconds': 718882}]"
hMjEGDBpakCgdsb9qmBfla3Hs7eVM9c6,"[{'name': 'soccer', 'viewed_milli_seconds': 6728335}]","[{'name': 'lcITZJY0ykr_lQXPFHaaJLBvJj6rUJzx', 'viewed_milli_seconds': 6728335}]","[{'name': 'Man United', 'league': 'lcITZJY0ykr_lQXPFHaaJLBvJj6rUJzx', 'viewed_milli_seconds': 3688190}, {'name': 'Sheffield United', 'league': 'lcITZJY0ykr_lQXPFHaaJLBvJj6rUJzx', 'viewed_milli_seconds': 3688190}]"
hMwnQpq_UvfGgyD4vRrHcYlddDGkXazQ,"[{'name': 'soccer', 'viewed_milli_seconds': 28142}]","[{'name': 'POMdmF6v80xVUCbJDc_f7cgu9TFLnAPS', 'viewed_milli_seconds': 28142}]","[{'name': 'Næstved', 'league': 'POMdmF6v80xVUCbJDc_f7cgu9TFLnAPS', 'viewed_milli_seconds': 28142}, {'name': 'Vejle', 'league': 'POMdmF6v80xVUCbJDc_f7cgu9TFLnAPS', 'viewed_milli_seconds': 28142}]"
hPlb2qUa2iqnjAE_ajeuWN3Yhhvc_QuQ,"[{'name': 'soccer', 'viewed_milli_seconds': 4328}]","[{'name': 'lcITZJY0ykr_lQXPFHaaJLBvJj6rUJzx', 'viewed_milli_seconds': 4328}]","[{'name': 'Newcastle', 'league': 'lcITZJY0ykr_lQXPFHaaJLBvJj6rUJzx', 'viewed_milli_seconds': 4328}, {'name': 'Aston Villa', 'league': 'lcITZJY0ykr_lQXPFHaaJLBvJj6rUJzx', 'viewed_milli_seconds': 4328}]"
hQUgPX9sN4Zm07yzXKzKxo1w0ulgaAt1,"[{'name': 'soccer', 'viewed_milli_seconds': 73466}]","[{'name': 'lcITZJY0ykr_lQXPFHaaJLBvJj6rUJzx', 'viewed_milli_seconds': 73466}]","[{'name': 'Newcastle', 'league': 'lcITZJY0ykr_lQXPFHaaJLBvJj6rUJzx', 'viewed_milli_seconds': 73466}, {'name': 'Aston Villa', 'league': 'lcITZJY0ykr_lQXPFHaaJLBvJj6rUJzx', 'viewed_milli_seconds': 73466}]"
hQdJP4DnUiZgiDjqbx8yED494do2gVy8,"[{'name': 'soccer', 'viewed_milli_seconds': 900256}]","[{'name': 'lcITZJY0ykr_lQXPFHaaJLBvJj6rUJzx', 'viewed_milli_seconds': 900256}]","[{'name': 'Liverpool', 'league': 'lcITZJY0ykr_lQXPFHaaJLBvJj6rUJzx', 'viewed_milli_seconds': 900256}, {'name': 'Crystal Palace', 'league': 'lcITZJY0ykr_lQXPFHaaJLBvJj6rUJzx', 'viewed_milli_seconds': 900256}]"
hR5HThl5BYVpq603SagwDrTZhKkiqN5H,"[{'name': 'soccer', 'viewed_milli_seconds': 28679616}]","[{'name': 'lcITZJY0ykr_lQXPFHaaJLBvJj6rUJzx', 'viewed_milli_seconds': 28679616}]","[{'name': 'Norwich', 'league': 'lcITZJY0ykr_lQXPFHaaJLBvJj6rUJzx', 'viewed_milli_seconds': 28679616}, {'name': 'Everton', 'league': 'lcITZJY0ykr_lQXPFHaaJLBvJj6rUJzx', 'viewed_milli_seconds': 28679616}]"
hR5I3sRtGdalmEUJ5pdymlRGDHEzFhty,"[{'name': 'soccer', 'viewed_milli_seconds': 2198960}]","[{'name': 'lcITZJY0ykr_lQXPFHaaJLBvJj6rUJzx', 'viewed_milli_seconds': 2198960}]","[{'name': 'Man United', 'league': 'lcITZJY0ykr_lQXPFHaaJLBvJj6rUJzx', 'viewed_milli_seconds': 2198960}, {'name': 'Sheffield United', 'league': 'lcITZJY0ykr_lQXPFHaaJLBvJj6rUJzx', 'viewed_milli_seconds': 2198960}]"
hRh2Ufk00_S92Uj_Y3cO_Ffd2NrJ7QUh,"[{'name': 'soccer', 'viewed_milli_seconds': 17520946}]","[{'name': 'lcITZJY0ykr_lQXPFHaaJLBvJj6rUJzx', 'viewed_milli_seconds': 17520946}]","[{'name': 'Man United', 'league': 'lcITZJY0ykr_lQXPFHaaJLBvJj6rUJzx', 'viewed_milli_seconds': 17520946}, {'name': 'Sheffield United', 'league': 'lcITZJY0ykr_lQXPFHaaJLBvJj6rUJzx', 'viewed_milli_seconds': 17520946}]"
hT6_xylZNi9wXeEEU9cmwofYztpQhYHa,"[{'name': 'soccer', 'viewed_milli_seconds': 3084524}]","[{'name': 'lcITZJY0ykr_lQXPFHaaJLBvJj6rUJzx', 'viewed_milli_seconds': 3084524}]","[{'name': 'Man United', 'league': 'lcITZJY0ykr_lQXPFHaaJLBvJj6rUJzx', 'viewed_milli_seconds': 2000479}, {'name': 'Sheffield United', 'league': 'lcITZJY0ykr_lQXPFHaaJLBvJj6rUJzx', 'viewed_milli_seconds': 2000479}]"
