program_title,unique_users,content_count,device_name,country_code,product_type
X-Men: First Class,27,27,samsung2017xdk,no,svod
Doodle's House,27,57,atv,se,svod
Eclipse,26,26,androiddash,dk,svod
Gekijouban Poketto monsutâ: Kimi ni kimeta!,26,26,ios,dk,svod
CSI Miami,26,26,ios,se,svod
Station 2: Politirapporten,26,26,ios,dk,svod
The Twilight Saga: New Moon,26,26,pcdash,se,svod
Predator,26,26,atv,dk,svod
Shots Fired,26,27,pcdash,dk,svod
Blind Dating,26,26,pcdash,dk,svod
Learn To Draw Minis,25,49,atv,dk,svod
Cage Warriors Live,25,25,pcdash,se,svod
The Aviator,25,26,chromecast,se,svod
OSL 24-7,25,30,ps4xdk,no,svod
"Nyhederne, Sporten og Vejret",25,25,ios,dk,svod
TV-avisen,25,26,ios,dk,svod
See Dad Run,25,30,ios,dk,svod
Star,25,28,pcdash,no,svod
Notorious,25,28,ios,dk,svod
Legion,25,27,ios,se,svod
Brooklyn Nine Nine,24,24,ios,se,svod
The Beguiled,24,24,pcdash,se,svod
Tunnelbanan,24,25,ios,se,svod
Two and a Half Men,24,24,ios,se,svod
Night at the Museum: Battle of the Smithsonian,24,24,pcdash,se,svod
Sportnytt,24,24,ios,se,svod
Johan Falk,24,24,chromecast,se,svod
Danmarks Modigste,23,23,ps4xdk,dk,svod
The Mechanic,23,23,ios,se,svod
Kniven mot strupen,23,28,ps4xdk,se,svod
Demain tout commence,23,23,ios,no,svod
Lego Chima,23,25,ios,no,svod
Arga snickaren,23,24,ios,se,svod
Vetenskapens värld,23,23,ios,se,svod
John Wick: Chapter Two,23,23,chromecast,fi,svod
Pocahontas II: Journey to a New World,23,23,ios,dk,svod
X2,23,23,pcdash,dk,svod
Stella Blómkvist,23,25,pcdash,se,svod
Nyhetene,23,26,ios,no,svod
Aktuellt,22,22,ios,se,svod
Flyboys,22,22,ios,se,svod
Testament of Youth,22,22,ios,dk,svod
La la Land,22,22,atv,se,svod
Snowfall,22,22,pcdash,se,svod
Klovn 2018,22,22,ios,dk,svod
The Glass Castle,22,22,pcdash,se,svod
Mayweather vs. McGregor,22,22,pcdash,se,svod
24: Live Another Day,22,26,pcdash,no,svod
Morran och Tobias - Som en skänk från ovan,21,21,ios,se,svod
Escape to the Country,21,21,ios,se,svod
Varg Veum,21,22,pcdash,se,svod
Amalies baby,21,23,ios,dk,svod
That '70s show,21,21,ios,se,svod
Mortdecai,21,21,ios,no,svod
Go' morgen Danmark,21,21,ios,dk,svod
Kærlighed i krise,21,23,chromecast,dk,svod
Nyhederne,20,20,ios,dk,svod
The Twilight Saga: Breaking Dawn - Part 1,20,20,pcdash,dk,svod
I heroinets spår,20,20,ios,se,svod
The Mummy,20,20,ios,se,svod
Det Store Eksperiment,20,20,ios,dk,svod
Kärlek och sex i Japan,20,20,ios,se,svod
Svindeljegerne,20,21,atv,no,svod
Go' aften Danmark,19,19,ios,dk,svod
Remember Me,19,19,pcdash,se,svod
Irene Huss,19,22,atv,se,svod
Tennis ATP Tour,19,19,pcdash,dk,svod
Regionale nyheder,19,19,ios,dk,svod
Redningskvinder,19,19,ios,dk,svod
X-Men: The Last Stand,19,19,ios,dk,svod
Black Widows,18,18,ios,se,svod
Pinocchio,18,18,chromecast,dk,svod
Conspiracy,18,19,atv,se,svod
Liberty,18,18,ios,se,svod
Frikjent,18,19,atv,no,svod
Paycheck,18,18,ios,dk,svod
you've been t@gged,18,22,pcdash,dk,svod
Sportsnyhetene,18,18,atv,no,svod
HåndboldMatchen: Nordsjælland-KIF Kolding (m),18,18,ios,dk,svod
LA to Vegas,18,21,atv,se,svod
Brooklyn Nine-Nine,18,18,ios,se,svod
Regionalprogram,18,18,ios,dk,svod
The Shannara Chronicles,18,18,pcdash,dk,svod
Camilla Läckberg - Fjällbackamorden,18,19,chromecast,se,svod
Fresh Beat Band of Spies,18,21,ios,se,svod
